iter	Passed	Remaining
0	2	603
1	3	507
2	4	472
3	6	456
4	7	457
5	9	453
6	10	448
7	12	447
8	13	442
9	15	439
10	16	433
11	17	429
12	19	425
13	21	431
14	22	431
15	24	426
16	25	425
17	27	423
18	28	422
19	29	419
20	31	416
21	32	413
22	34	417
23	36	415
24	37	412
25	38	409
26	40	408
27	41	407
28	43	406
29	45	405
30	46	402
31	48	410
32	50	408
33	51	405
34	53	402
35	54	401
36	56	400
37	57	398
38	59	395
39	60	393
40	62	392
41	63	390
42	64	388
43	66	386
44	68	387
45	69	385
46	71	383
47	72	380
48	73	378
49	75	376
50	76	374
51	78	373
52	79	371
53	81	370
54	82	368
55	84	367
56	85	365
57	86	362
58	93	382
59	95	382
60	96	379
61	98	377
62	99	375
63	101	373
64	102	371
65	104	369
66	105	367
67	107	365
68	108	364
69	110	362
70	111	359
71	112	357
72	114	355
73	116	355
74	117	353
75	119	351
76	120	348
77	122	347
78	123	345
79	125	343
80	126	342
81	128	340
82	129	339
83	131	337
84	132	335
85	134	333
86	135	332
87	137	331
88	138	329
89	140	327
90	141	325
91	143	323
92	144	321
93	145	319
94	147	318
95	149	316
96	150	315
97	152	313
98	153	311
99	154	309
100	156	308
101	157	306
102	159	304
103	160	302
104	161	300
105	163	299
106	165	297
107	166	295
108	167	294
109	169	292
110	170	290
111	172	289
112	173	287
113	175	285
114	176	284
115	178	282
116	179	280
117	180	278
118	182	277
119	184	276
120	185	274
121	187	272
122	188	271
123	190	269
124	191	268
125	193	266
126	194	265
127	196	264
128	198	262
129	200	261
130	201	259
131	203	258
132	204	257
133	206	255
134	207	253
135	209	252
136	210	250
137	212	249
138	213	247
139	214	245
140	216	243
141	217	242
142	219	240
143	220	239
144	222	237
145	223	235
146	224	234
147	226	232
148	227	230
149	229	229
150	230	227
151	232	225
152	233	224
153	234	222
154	236	221
155	237	219
156	239	217
157	240	216
158	242	214
159	243	213
160	245	211
161	246	209
162	247	208
163	249	206
164	250	204
165	252	203
166	253	201
167	254	200
168	256	198
169	257	197
170	259	195
171	260	193
172	261	192
173	263	191
174	265	189
175	266	187
176	267	186
177	269	184
178	270	183
179	272	181
180	273	179
181	275	178
182	276	176
183	277	175
184	279	173
185	280	172
186	281	170
187	283	168
188	284	167
189	286	165
190	287	164
191	289	162
192	290	161
193	292	159
194	293	158
195	294	156
196	296	154
197	297	153
198	299	151
199	300	150
200	301	148
201	303	147
202	304	145
203	306	144
204	307	142
205	309	141
206	310	139
207	311	137
208	313	136
209	314	134
210	316	133
211	317	131
212	319	130
213	320	128
214	321	127
215	323	125
216	324	124
217	326	122
218	327	121
219	329	119
220	330	118
221	332	116
222	333	115
223	335	113
224	336	112
225	338	110
226	339	109
227	340	107
228	342	106
229	343	104
230	345	103
231	346	101
232	347	100
233	349	98
234	350	97
235	352	95
236	353	94
237	355	92
238	356	90
239	357	89
240	359	87
241	360	86
242	361	84
243	363	83
244	364	81
245	366	80
246	367	78
247	368	77
248	370	75
249	371	74
250	373	72
251	374	71
252	375	69
253	377	68
254	378	66
255	379	65
256	381	63
257	382	62
258	384	60
259	385	59
260	386	57
261	388	56
262	389	54
263	391	53
264	392	51
265	393	50
266	395	48
267	396	47
268	398	45
269	399	44
270	400	42
271	402	41
272	403	39
273	405	38
274	406	36
275	407	35
276	409	33
277	410	32
278	412	31
279	413	29
280	414	28
281	416	26
282	417	25
283	418	23
284	420	22
285	421	20
286	423	19
287	424	17
288	425	16
289	427	14
290	428	13
291	429	11
292	431	10
293	432	8
294	433	7
295	435	5
296	436	4
297	438	2
298	439	1
299	441	0
